"size","sim","serie","p1","p2","p3"
100,14,"x8",28,20,5
100,14,"x9",19,17,3
100,14,"x10",16,15,11
100,14,"x11",29,21,13
100,14,"x12",28,11,7
100,14,"x13",22,15,11
100,14,"x14",26,0,0
100,15,"x1",18,0,0
100,15,"x2",13,7,0
100,15,"x3",23,0,0
100,15,"x4",29,13,8
100,15,"x5",24,17,14
100,15,"x6",28,22,21
100,15,"x7",29,23,18
100,15,"x8",26,11,10
100,15,"x9",26,0,0
100,15,"x10",24,0,0
100,15,"x11",28,24,15
100,15,"x12",29,25,23
100,15,"x13",27,23,14
100,15,"x14",29,27,24
100,16,"x1",16,0,0
100,16,"x2",21,12,0
100,16,"x3",28,14,13
100,16,"x4",29,27,22
100,16,"x5",NA,28,27
100,16,"x6",29,19,0
100,16,"x7",14,11,4
100,16,"x8",28,17,15
100,16,"x9",11,0,0
100,16,"x10",26,1,0
100,16,"x11",27,24,0
100,16,"x12",29,26,24
100,16,"x13",26,22,21
100,16,"x14",28,26,23
100,17,"x1",25,17,4
100,17,"x2",26,21,18
100,17,"x3",28,20,15
100,17,"x4",20,0,0
100,17,"x5",28,26,25
100,17,"x6",29,26,24
100,17,"x7",26,15,5
100,17,"x8",25,13,2
100,17,"x9",0,0,0
100,17,"x10",29,27,0
100,17,"x11",25,24,21
100,17,"x12",29,27,21
100,17,"x13",29,17,16
100,17,"x14",28,27,26
100,18,"x1",29,25,21
100,18,"x2",29,28,27
100,18,"x3",24,22,19
100,18,"x4",28,23,13
100,18,"x5",26,25,22
100,18,"x6",27,26,24
100,18,"x7",26,19,0
100,18,"x8",19,0,0
100,18,"x9",25,22,7
100,18,"x10",20,17,16
100,18,"x11",23,13,0
100,18,"x12",29,23,0
100,18,"x13",23,19,18
100,18,"x14",20,9,0
100,19,"x1",29,28,27
100,19,"x2",29,19,18
100,19,"x3",29,25,23
100,19,"x4",28,27,25
100,19,"x5",2,0,0
100,19,"x6",29,28,27
100,19,"x7",29,28,27
100,19,"x8",23,21,20
100,19,"x9",28,25,3
100,19,"x10",10,0,0
100,19,"x11",0,0,0
100,19,"x12",28,26,9
100,19,"x13",29,28,27
100,19,"x14",26,8,0
100,20,"x1",3,0,0
100,20,"x2",28,20,14
100,20,"x3",27,20,16
100,20,"x4",27,19,17
100,20,"x5",1,0,0
100,20,"x6",29,28,26
100,20,"x7",28,27,25
100,20,"x8",29,0,0
100,20,"x9",28,27,15
100,20,"x10",27,25,0
100,20,"x11",26,21,11
100,20,"x12",11,0,0
100,20,"x13",28,26,25
100,20,"x14",26,25,24
100,21,"x1",23,0,0
100,21,"x2",29,7,0
100,21,"x3",5,0,0
100,21,"x4",28,15,9
100,21,"x5",27,20,5
100,21,"x6",29,21,18
100,21,"x7",29,1,0
100,21,"x8",17,4,0
100,21,"x9",0,0,0
100,21,"x10",27,25,4
100,21,"x11",29,27,16
100,21,"x12",27,15,0
100,21,"x13",29,27,19
100,21,"x14",29,28,27
100,22,"x1",27,20,19
100,22,"x2",28,26,12
100,22,"x3",28,27,24
100,22,"x4",2,0,0
