"size","sim","serie","p1","p2","p3"
100,28,"x9",13,2,1
100,28,"x10",25,10,2
100,28,"x11",0,0,0
100,28,"x12",6,2,1
100,28,"x13",20,4,2
100,28,"x14",19,7,3
100,29,"x1",27,3,1
100,29,"x2",15,10,3
100,29,"x3",2,1,0
100,29,"x4",8,3,1
100,29,"x5",7,0,0
100,29,"x6",3,0,0
100,29,"x7",2,1,0
100,29,"x8",13,4,3
100,29,"x9",25,7,2
100,29,"x10",14,13,9
100,29,"x11",6,0,0
100,29,"x12",4,2,1
100,29,"x13",1,0,0
100,29,"x14",26,22,3
100,30,"x1",4,1,0
100,30,"x2",26,3,1
100,30,"x3",2,1,0
100,30,"x4",14,0,0
100,30,"x5",3,0,0
100,30,"x6",1,0,0
100,30,"x7",28,2,1
100,30,"x8",28,18,3
100,30,"x9",2,1,0
100,30,"x10",24,9,4
100,30,"x11",6,4,0
100,30,"x12",14,1,0
100,30,"x13",1,0,0
100,30,"x14",28,3,1
100,31,"x1",4,3,1
100,31,"x2",8,3,1
100,31,"x3",3,2,1
100,31,"x4",0,0,0
100,31,"x5",30,0,0
100,31,"x6",3,1,0
100,31,"x7",14,1,0
100,31,"x8",2,1,0
100,31,"x9",10,8,4
100,31,"x10",10,8,4
100,31,"x11",19,0,0
100,31,"x12",3,2,1
100,31,"x13",1,0,0
100,31,"x14",6,2,1
100,32,"x1",1,0,0
100,32,"x2",20,5,3
100,32,"x3",3,2,1
100,32,"x4",2,0,0
100,32,"x5",4,0,0
100,32,"x6",3,0,0
100,32,"x7",19,6,2
100,32,"x8",3,2,1
100,32,"x9",13,12,11
100,32,"x10",22,13,9
100,32,"x11",1,0,0
100,32,"x12",2,1,0
100,32,"x13",1,0,0
100,32,"x14",3,1,0
100,33,"x1",2,1,0
100,33,"x2",27,20,1
100,33,"x3",3,2,1
100,33,"x4",1,0,0
100,33,"x5",4,0,0
100,33,"x6",1,0,0
100,33,"x7",1,0,0
100,33,"x8",28,3,2
100,33,"x9",11,8,2
100,33,"x10",13,10,8
100,33,"x11",24,12,0
100,33,"x12",3,2,1
100,33,"x13",4,2,1
100,33,"x14",26,3,1
100,34,"x1",10,4,3
100,34,"x2",3,1,0
100,34,"x3",14,3,2
100,34,"x4",2,0,0
100,34,"x5",0,0,0
100,34,"x6",0,0,0
100,34,"x7",19,1,0
100,34,"x8",9,8,3
100,34,"x9",12,9,7
100,34,"x10",8,7,5
100,34,"x11",24,0,0
100,34,"x12",18,4,2
100,34,"x13",2,1,0
100,34,"x14",1,0,0
100,35,"x1",14,1,0
100,35,"x2",3,1,0
100,35,"x3",1,0,0
100,35,"x4",0,0,0
100,35,"x5",0,0,0
100,35,"x6",1,0,0
100,35,"x7",8,1,0
100,35,"x8",19,2,1
100,35,"x9",8,7,2
100,35,"x10",21,13,8
100,35,"x11",0,0,0
100,35,"x12",2,1,0
100,35,"x13",1,0,0
100,35,"x14",5,1,0
100,36,"x1",1,0,0
100,36,"x2",6,5,3
100,36,"x3",3,2,1
100,36,"x4",1,0,0
100,36,"x5",5,0,0
100,36,"x6",2,1,0
100,36,"x7",1,0,0
100,36,"x8",7,5,2
100,36,"x9",12,5,4
100,36,"x10",16,10,9
100,36,"x11",24,21,9
100,36,"x12",2,1,0
100,36,"x13",16,2,1
100,36,"x14",15,1,0
100,37,"x1",4,3,1
100,37,"x2",4,1,0
100,37,"x3",3,2,1
100,37,"x4",0,0,0
100,37,"x5",17,15,1
100,37,"x6",0,0,0
