"size","sim","serie","p1","p2","p3"
100,54,"x4",28,21,20
100,54,"x5",21,19,0
100,54,"x6",18,5,3
100,54,"x7",26,23,10
100,54,"x8",2,1,0
100,54,"x9",23,21,16
100,54,"x10",23,21,19
100,54,"x11",29,24,19
100,54,"x12",29,20,16
100,54,"x13",29,22,19
100,54,"x14",23,4,1
100,55,"x1",13,4,3
100,55,"x2",29,27,22
100,55,"x3",22,19,17
100,55,"x4",25,7,1
100,55,"x5",4,1,0
100,55,"x6",27,20,16
100,55,"x7",16,3,0
100,55,"x8",24,12,4
100,55,"x9",28,25,22
100,55,"x10",28,21,16
100,55,"x11",29,26,21
100,55,"x12",2,0,0
100,55,"x13",29,23,14
100,55,"x14",29,28,26
100,56,"x1",29,21,18
100,56,"x2",27,22,21
100,56,"x3",2,1,0
100,56,"x4",25,6,0
100,56,"x5",29,28,11
100,56,"x6",20,19,3
100,56,"x7",0,0,0
100,56,"x8",25,12,1
100,56,"x9",26,9,5
100,56,"x10",25,23,19
100,56,"x11",27,2,0
100,56,"x12",28,26,15
100,56,"x13",26,24,17
100,56,"x14",24,21,2
100,57,"x1",25,22,17
100,57,"x2",19,4,2
100,57,"x3",29,25,24
100,57,"x4",21,20,4
100,57,"x5",24,19,4
100,57,"x6",20,17,4
100,57,"x7",27,26,24
100,57,"x8",27,10,1
100,57,"x9",24,12,11
100,57,"x10",19,16,12
100,57,"x11",11,9,2
100,57,"x12",24,17,2
100,57,"x13",13,6,1
100,57,"x14",16,4,2
100,58,"x1",18,15,0
100,58,"x2",26,7,1
100,58,"x3",8,2,1
100,58,"x4",26,21,0
100,58,"x5",12,4,0
100,58,"x6",28,25,22
100,58,"x7",21,12,1
100,58,"x8",29,23,21
100,58,"x9",26,18,11
100,58,"x10",23,10,9
100,58,"x11",9,2,0
100,58,"x12",29,23,16
100,58,"x13",29,28,27
100,58,"x14",25,2,0
100,59,"x1",25,20,15
100,59,"x2",27,26,9
100,59,"x3",3,2,1
100,59,"x4",23,18,0
100,59,"x5",22,4,2
100,59,"x6",26,21,3
100,59,"x7",2,1,0
100,59,"x8",29,4,3
100,59,"x9",28,19,1
100,59,"x10",17,14,13
100,59,"x11",28,12,0
100,59,"x12",29,11,1
100,59,"x13",27,17,14
100,59,"x14",2,0,0
100,60,"x1",29,27,22
100,60,"x2",28,13,2
100,60,"x3",26,2,1
100,60,"x4",7,3,0
100,60,"x5",29,11,3
100,60,"x6",17,16,15
100,60,"x7",26,2,1
100,60,"x8",2,1,0
100,60,"x9",28,22,12
100,60,"x10",28,24,16
100,60,"x11",29,27,23
100,60,"x12",25,10,2
100,60,"x13",28,3,1
100,60,"x14",27,20,2
100,61,"x1",27,14,9
100,61,"x2",28,25,18
100,61,"x3",22,12,2
100,61,"x4",25,21,15
100,61,"x5",25,0,0
100,61,"x6",3,0,0
100,61,"x7",26,15,14
100,61,"x8",27,13,1
100,61,"x9",29,27,23
100,61,"x10",29,23,21
100,61,"x11",26,25,23
100,61,"x12",19,1,0
100,61,"x13",13,12,0
100,61,"x14",13,0,0
100,62,"x1",24,22,16
100,62,"x2",3,2,0
100,62,"x3",2,1,0
100,62,"x4",22,20,5
100,62,"x5",28,4,3
100,62,"x6",26,7,3
100,62,"x7",25,13,0
