"size","sim","serie","p1","p2","p3"
100,20,"x7",30,9,1
100,20,"x8",29,1,0
100,20,"x9",1,0,0
100,20,"x10",23,1,0
100,20,"x11",15,13,0
100,20,"x12",6,5,1
100,20,"x13",27,25,22
100,20,"x14",30,0,0
100,21,"x1",30,23,4
100,21,"x2",1,0,0
100,21,"x3",28,14,1
100,21,"x4",9,1,0
100,21,"x5",4,2,1
100,21,"x6",16,2,1
100,21,"x7",27,3,1
100,21,"x8",30,13,7
100,21,"x9",30,27,23
100,21,"x10",21,18,3
100,21,"x11",30,26,0
100,21,"x12",28,25,24
100,21,"x13",26,20,19
100,21,"x14",16,0,0
100,22,"x1",13,0,0
100,22,"x2",18,13,3
100,22,"x3",8,7,1
100,22,"x4",2,1,0
100,22,"x5",10,1,0
100,22,"x6",8,2,1
100,22,"x7",13,1,0
100,22,"x8",23,8,3
100,22,"x9",17,6,0
100,22,"x10",30,6,0
100,22,"x11",13,12,5
100,22,"x12",18,1,0
100,22,"x13",21,11,6
100,22,"x14",29,8,0
100,23,"x1",28,19,14
100,23,"x2",30,1,0
100,23,"x3",6,1,0
100,23,"x4",18,1,0
100,23,"x5",29,21,1
100,23,"x6",3,1,0
100,23,"x7",11,1,0
100,23,"x8",28,22,2
100,23,"x9",15,13,12
100,23,"x10",30,20,11
100,23,"x11",30,28,19
100,23,"x12",16,4,2
100,23,"x13",27,26,25
100,23,"x14",29,24,22
100,24,"x1",13,10,5
100,24,"x2",2,0,0
100,24,"x3",29,28,23
100,24,"x4",2,1,0
100,24,"x5",30,28,7
100,24,"x6",11,1,0
100,24,"x7",13,1,0
100,24,"x8",29,24,22
100,24,"x9",23,0,0
100,24,"x10",23,17,6
100,24,"x11",6,2,0
100,24,"x12",18,1,0
100,24,"x13",17,1,0
100,24,"x14",25,23,20
100,25,"x1",15,0,0
100,25,"x2",23,1,0
100,25,"x3",28,23,20
100,25,"x4",3,1,0
100,25,"x5",30,1,0
100,25,"x6",2,1,0
100,25,"x7",13,1,0
100,25,"x8",11,5,1
100,25,"x9",26,18,12
100,25,"x10",15,13,0
100,25,"x11",10,0,0
100,25,"x12",29,20,15
100,25,"x13",21,4,1
100,25,"x14",20,13,4
100,26,"x1",25,21,1
100,26,"x2",11,10,1
100,26,"x3",25,24,23
100,26,"x4",26,14,1
100,26,"x5",19,1,0
100,26,"x6",3,1,0
100,26,"x7",26,14,1
100,26,"x8",13,0,0
100,26,"x9",19,10,0
100,26,"x10",17,12,0
100,26,"x11",30,0,0
100,26,"x12",29,10,2
100,26,"x13",20,19,7
100,26,"x14",23,3,0
100,27,"x1",8,7,0
100,27,"x2",29,17,1
100,27,"x3",28,27,22
100,27,"x4",26,1,0
100,27,"x5",1,0,0
100,27,"x6",3,2,1
100,27,"x7",22,11,3
100,27,"x8",30,19,18
100,27,"x9",16,12,1
100,27,"x10",2,0,0
100,27,"x11",29,28,25
100,27,"x12",21,16,15
100,27,"x13",19,5,1
100,27,"x14",24,2,1
100,28,"x1",4,0,0
100,28,"x2",19,18,5
100,28,"x3",27,26,25
100,28,"x4",1,0,0
100,28,"x5",1,0,0
100,28,"x6",2,1,0
100,28,"x7",18,6,1
100,28,"x8",23,21,20
100,28,"x9",25,20,10
100,28,"x10",10,1,0
100,28,"x11",11,0,0
100,28,"x12",9,1,0
100,28,"x13",29,21,15
100,28,"x14",10,0,0
100,29,"x1",17,1,0
100,29,"x2",27,19,1
100,29,"x3",28,23,18
100,29,"x4",1,0,0
100,29,"x5",3,1,0
100,29,"x6",9,2,1
100,29,"x7",21,20,1
100,29,"x8",27,4,1
100,29,"x9",20,15,14
100,29,"x10",5,0,0
100,29,"x11",11,10,4
100,29,"x12",30,27,26
100,29,"x13",29,19,13
100,29,"x14",29,28,23
100,30,"x1",29,15,0
100,30,"x2",8,0,0
100,30,"x3",28,27,26
100,30,"x4",29,1,0
100,30,"x5",14,2,1
100,30,"x6",2,1,0
100,30,"x7",1,0,0
100,30,"x8",20,12,0
100,30,"x9",30,23,22
100,30,"x10",29,28,12
100,30,"x11",24,23,15
100,30,"x12",29,1,0
100,30,"x13",24,10,9
100,30,"x14",27,22,20
100,31,"x1",30,27,14
100,31,"x2",29,8,1
100,31,"x3",26,21,20
100,31,"x4",28,2,1
100,31,"x5",18,1,0
100,31,"x6",2,1,0
100,31,"x7",24,17,0
100,31,"x8",22,19,18
100,31,"x9",24,12,0
100,31,"x10",30,13,1
100,31,"x11",24,16,12
100,31,"x12",16,0,0
100,31,"x13",25,23,1
100,31,"x14",13,0,0
100,32,"x1",18,0,0
100,32,"x2",29,22,1
100,32,"x3",28,26,22
100,32,"x4",23,1,0
100,32,"x5",1,0,0
100,32,"x6",3,1,0
100,32,"x7",21,1,0
100,32,"x8",25,18,11
100,32,"x9",25,22,0
100,32,"x10",14,0,0
100,32,"x11",21,13,0
100,32,"x12",10,9,7
100,32,"x13",29,22,18
100,32,"x14",13,4,1
100,33,"x1",4,0,0
100,33,"x2",11,8,6
100,33,"x3",23,21,20
100,33,"x4",27,24,2
100,33,"x5",11,1,0
100,33,"x6",2,1,0
100,33,"x7",22,1,0
100,33,"x8",29,22,0
100,33,"x9",26,22,21
100,33,"x10",1,0,0
100,33,"x11",20,6,0
100,33,"x12",25,18,16
