"size","sim","serie","p1","p2","p3"
100,27,"x10",15,10,5
100,27,"x11",21,2,1
100,27,"x12",2,1,0
100,27,"x13",1,0,0
100,27,"x14",3,1,0
100,28,"x1",27,4,3
100,28,"x2",10,4,1
100,28,"x3",2,1,0
100,28,"x4",1,0,0
100,28,"x5",29,7,0
100,28,"x6",1,0,0
100,28,"x7",18,1,0
100,28,"x8",3,2,1
100,28,"x9",13,12,1
100,28,"x10",21,7,5
100,28,"x11",26,14,12
100,28,"x12",9,3,2
100,28,"x13",1,0,0
100,28,"x14",7,5,3
100,29,"x1",4,3,1
100,29,"x2",3,2,1
100,29,"x3",17,3,2
100,29,"x4",2,0,0
100,29,"x5",0,0,0
100,29,"x6",3,1,0
100,29,"x7",1,0,0
100,29,"x8",4,2,1
100,29,"x9",28,18,1
100,29,"x10",10,4,3
100,29,"x11",24,0,0
100,29,"x12",16,6,4
100,29,"x13",2,1,0
100,29,"x14",20,3,1
100,30,"x1",4,3,1
100,30,"x2",4,1,0
100,30,"x3",2,1,0
100,30,"x4",1,0,0
100,30,"x5",0,0,0
100,30,"x6",1,0,0
100,30,"x7",2,1,0
100,30,"x8",4,3,2
100,30,"x9",19,11,1
100,30,"x10",17,15,7
100,30,"x11",24,0,0
100,30,"x12",2,1,0
100,30,"x13",17,4,3
100,30,"x14",11,3,2
100,31,"x1",4,2,1
100,31,"x2",27,22,3
100,31,"x3",22,21,18
100,31,"x4",1,0,0
100,31,"x5",18,5,3
100,31,"x6",28,3,1
100,31,"x7",1,0,0
100,31,"x8",17,3,2
100,31,"x9",13,1,0
100,31,"x10",24,13,10
100,31,"x11",12,0,0
100,31,"x12",3,2,1
100,31,"x13",1,0,0
100,31,"x14",5,3,1
100,32,"x1",5,3,2
100,32,"x2",4,3,1
100,32,"x3",3,2,1
100,32,"x4",5,4,1
100,32,"x5",19,6,4
100,32,"x6",2,1,0
100,32,"x7",19,10,1
100,32,"x8",3,2,1
100,32,"x9",11,2,1
100,32,"x10",24,2,0
100,32,"x11",0,0,0
100,32,"x12",17,2,1
100,32,"x13",1,0,0
100,32,"x14",23,5,3
100,33,"x1",3,2,1
100,33,"x2",5,1,0
100,33,"x3",20,3,2
100,33,"x4",4,1,0
100,33,"x5",4,2,0
100,33,"x6",3,2,1
100,33,"x7",1,0,0
100,33,"x8",2,1,0
100,33,"x9",13,3,1
100,33,"x10",16,7,4
100,33,"x11",0,0,0
100,33,"x12",2,1,0
100,33,"x13",1,0,0
100,33,"x14",3,1,0
100,34,"x1",1,0,0
100,34,"x2",6,3,1
100,34,"x3",3,2,1
100,34,"x4",0,0,0
100,34,"x5",4,0,0
100,34,"x6",1,0,0
100,34,"x7",8,2,1
100,34,"x8",5,2,1
100,34,"x9",12,5,1
100,34,"x10",24,11,5
100,34,"x11",21,10,0
100,34,"x12",18,2,1
100,34,"x13",1,0,0
100,34,"x14",2,1,0
100,35,"x1",1,0,0
100,35,"x2",26,3,1
100,35,"x3",1,0,0
100,35,"x4",1,0,0
100,35,"x5",28,0,0
100,35,"x6",1,0,0
100,35,"x7",1,0,0
100,35,"x8",2,1,0
100,35,"x9",28,12,11
100,35,"x10",28,14,10
100,35,"x11",24,12,2
100,35,"x12",24,7,3
100,35,"x13",2,1,0
100,35,"x14",17,12,3
100,36,"x1",4,2,1
100,36,"x2",6,3,1
100,36,"x3",3,2,1
100,36,"x4",1,0,0
100,36,"x5",26,4,1
100,36,"x6",1,0,0
100,36,"x7",17,1,0
100,36,"x8",12,3,2
100,36,"x9",24,11,5
100,36,"x10",24,10,5
100,36,"x11",2,0,0
100,36,"x12",11,2,1
100,36,"x13",1,0,0
100,36,"x14",3,1,0
100,37,"x1",23,5,4
100,37,"x2",1,0,0
100,37,"x3",13,3,2
100,37,"x4",3,2,1
100,37,"x5",4,1,0
100,37,"x6",1,0,0
100,37,"x7",4,2,1
100,37,"x8",13,2,1
100,37,"x9",8,5,4
100,37,"x10",10,9,5
100,37,"x11",24,4,3
100,37,"x12",26,2,1
100,37,"x13",1,0,0
100,37,"x14",3,1,0
100,38,"x1",3,1,0
100,38,"x2",1,0,0
100,38,"x3",17,3,2
100,38,"x4",1,0,0
100,38,"x5",12,0,0
100,38,"x6",0,0,0
100,38,"x7",14,2,1
100,38,"x8",2,1,0
100,38,"x9",12,1,0
100,38,"x10",28,7,4
100,38,"x11",24,2,0
100,38,"x12",5,3,2
100,38,"x13",1,0,0
100,38,"x14",10,1,0
100,39,"x1",20,4,2
100,39,"x2",3,1,0
100,39,"x3",2,1,0
100,39,"x4",1,0,0
100,39,"x5",4,0,0
100,39,"x6",3,1,0
100,39,"x7",10,2,1
100,39,"x8",2,1,0
100,39,"x9",12,11,1
100,39,"x10",24,22,10
100,39,"x11",3,0,0
100,39,"x12",2,1,0
100,39,"x13",1,0,0
100,39,"x14",3,2,1
100,40,"x1",8,4,3
100,40,"x2",6,4,3
100,40,"x3",3,2,1
100,40,"x4",0,0,0
100,40,"x5",0,0,0
100,40,"x6",1,0,0
100,40,"x7",10,1,0
100,40,"x8",11,4,2
100,40,"x9",2,1,0
100,40,"x10",9,5,3
100,40,"x11",20,0,0
100,40,"x12",3,2,1
100,40,"x13",1,0,0
100,40,"x14",7,4,2
100,41,"x1",4,3,2
100,41,"x2",27,7,3
100,41,"x3",1,0,0
100,41,"x4",2,1,0
100,41,"x5",13,4,2
100,41,"x6",1,0,0
100,41,"x7",15,8,2
100,41,"x8",2,1,0
100,41,"x9",8,2,1
100,41,"x10",16,10,9
100,41,"x11",17,12,0
100,41,"x12",2,1,0
100,41,"x13",1,0,0
100,41,"x14",10,9,3
100,42,"x1",4,3,1
100,42,"x2",15,3,1
100,42,"x3",3,2,1
100,42,"x4",1,0,0
100,42,"x5",4,3,2
100,42,"x6",14,3,1
100,42,"x7",3,1,0
100,42,"x8",3,2,1
100,42,"x9",12,4,1
100,42,"x10",28,25,10
100,42,"x11",14,13,12
100,42,"x12",3,2,1
100,42,"x13",2,1,0
100,42,"x14",5,2,1
100,43,"x1",3,1,0
100,43,"x2",27,2,1
100,43,"x3",3,2,1
100,43,"x4",3,2,1
100,43,"x5",0,0,0
100,43,"x6",1,0,0
100,43,"x7",2,1,0
100,43,"x8",2,1,0
100,43,"x9",15,11,10
100,43,"x10",28,15,10
100,43,"x11",24,21,19
100,43,"x12",2,1,0
100,43,"x13",2,1,0
100,43,"x14",3,1,0
100,44,"x1",24,19,6
100,44,"x2",8,3,1
100,44,"x3",3,2,1
100,44,"x4",0,0,0
100,44,"x5",2,1,0
100,44,"x6",0,0,0
100,44,"x7",2,1,0
100,44,"x8",3,2,1
100,44,"x9",1,0,0
100,44,"x10",4,2,1
100,44,"x11",0,0,0
100,44,"x12",24,3,2
100,44,"x13",4,2,1
100,44,"x14",4,3,1
100,45,"x1",21,17,5
100,45,"x2",3,1,0
100,45,"x3",2,1,0
100,45,"x4",2,0,0
100,45,"x5",0,0,0
100,45,"x6",3,1,0
100,45,"x7",2,1,0
100,45,"x8",5,3,2
100,45,"x9",11,3,2
100,45,"x10",10,6,5
100,45,"x11",0,0,0
100,45,"x12",9,5,2
100,45,"x13",1,0,0
100,45,"x14",8,3,1
100,46,"x1",11,1,0
100,46,"x2",24,10,6
100,46,"x3",2,1,0
100,46,"x4",1,0,0
100,46,"x5",4,2,0
100,46,"x6",5,1,0
100,46,"x7",2,1,0
100,46,"x8",11,3,2
100,46,"x9",2,1,0
100,46,"x10",16,15,6
100,46,"x11",18,12,0
100,46,"x12",2,1,0
100,46,"x13",2,1,0
100,46,"x14",1,0,0
100,47,"x1",24,20,4
100,47,"x2",1,0,0
100,47,"x3",2,1,0
100,47,"x4",0,0,0
100,47,"x5",7,4,0
100,47,"x6",3,0,0
100,47,"x7",2,1,0
100,47,"x8",3,2,1
100,47,"x9",13,12,2
100,47,"x10",13,8,4
100,47,"x11",12,0,0
100,47,"x12",3,2,1
100,47,"x13",1,0,0
100,47,"x14",22,3,1
100,48,"x1",2,1,0
100,48,"x2",4,3,1
100,48,"x3",2,1,0
100,48,"x4",2,0,0
100,48,"x5",4,3,2
100,48,"x6",1,0,0
100,48,"x7",2,1,0
100,48,"x8",2,1,0
100,48,"x9",22,10,4
100,48,"x10",21,9,8
100,48,"x11",24,12,0
100,48,"x12",2,1,0
100,48,"x13",1,0,0
100,48,"x14",11,3,2
100,49,"x1",13,2,1
100,49,"x2",11,1,0
100,49,"x3",2,1,0
100,49,"x4",1,0,0
100,49,"x5",0,0,0
100,49,"x6",3,1,0
100,49,"x7",6,2,1
100,49,"x8",18,17,3
100,49,"x9",5,4,2
100,49,"x10",30,10,8
100,49,"x11",24,0,0
100,49,"x12",2,1,0
100,49,"x13",2,1,0
100,49,"x14",1,0,0
100,50,"x1",18,4,3
100,50,"x2",4,3,1
100,50,"x3",4,3,2
100,50,"x4",1,0,0
100,50,"x5",0,0,0
100,50,"x6",3,1,0
100,50,"x7",18,1,0
100,50,"x8",3,2,1
100,50,"x9",13,12,4
100,50,"x10",28,13,10
100,50,"x11",24,12,10
100,50,"x12",25,5,3
100,50,"x13",1,0,0
100,50,"x14",25,1,0
100,51,"x1",4,3,2
100,51,"x2",8,5,1
100,51,"x3",4,2,1
100,51,"x4",1,0,0
100,51,"x5",0,0,0
100,51,"x6",4,3,1
100,51,"x7",7,1,0
100,51,"x8",2,1,0
100,51,"x9",1,0,0
100,51,"x10",15,9,2
100,51,"x11",5,0,0
100,51,"x12",9,2,1
100,51,"x13",2,1,0
100,51,"x14",21,1,0
100,52,"x1",1,0,0
100,52,"x2",3,1,0
100,52,"x3",2,1,0
100,52,"x4",1,0,0
100,52,"x5",12,4,2
100,52,"x6",0,0,0
100,52,"x7",28,21,19
100,52,"x8",2,1,0
100,52,"x9",22,11,2
100,52,"x10",24,13,10
100,52,"x11",12,0,0
100,52,"x12",3,2,1
100,52,"x13",2,1,0
100,52,"x14",9,1,0
100,53,"x1",29,28,5
100,53,"x2",3,1,0
100,53,"x3",3,2,1
100,53,"x4",1,0,0
100,53,"x5",4,0,0
100,53,"x6",1,0,0
100,53,"x7",1,0,0
100,53,"x8",21,5,2
100,53,"x9",2,1,0
100,53,"x10",23,13,3
100,53,"x11",24,0,0
100,53,"x12",2,1,0
100,53,"x13",1,0,0
100,53,"x14",11,3,1
100,54,"x1",23,4,3
100,54,"x2",18,4,1
100,54,"x3",25,2,1
100,54,"x4",1,0,0
100,54,"x5",6,2,0
100,54,"x6",3,1,0
100,54,"x7",3,2,1
100,54,"x8",2,1,0
100,54,"x9",13,11,2
100,54,"x10",9,2,1
100,54,"x11",24,12,0
100,54,"x12",11,2,1
100,54,"x13",1,0,0
100,54,"x14",3,1,0
100,55,"x1",2,1,0
100,55,"x2",20,3,1
100,55,"x3",2,1,0
100,55,"x4",10,1,0
100,55,"x5",2,1,0
100,55,"x6",0,0,0
100,55,"x7",2,1,0
100,55,"x8",3,2,1
100,55,"x9",25,23,12
100,55,"x10",25,23,12
100,55,"x11",0,0,0
100,55,"x12",11,4,2
100,55,"x13",2,1,0
100,55,"x14",3,1,0
100,56,"x1",4,1,0
100,56,"x2",3,1,0
100,56,"x3",2,1,0
100,56,"x4",2,1,0
100,56,"x5",0,0,0
100,56,"x6",8,5,1
100,56,"x7",1,0,0
100,56,"x8",28,2,1
100,56,"x9",26,25,6
100,56,"x10",26,25,3
100,56,"x11",0,0,0
100,56,"x12",2,1,0
100,56,"x13",2,1,0
100,56,"x14",18,8,3
100,57,"x1",16,4,1
100,57,"x2",3,2,1
100,57,"x3",3,2,1
100,57,"x4",1,0,0
100,57,"x5",30,6,0
100,57,"x6",1,0,0
100,57,"x7",1,0,0
100,57,"x8",18,2,1
100,57,"x9",18,4,2
100,57,"x10",18,10,7
100,57,"x11",24,1,0
100,57,"x12",12,2,1
100,57,"x13",2,1,0
100,57,"x14",1,0,0
100,58,"x1",29,4,3
100,58,"x2",3,1,0
