"size","sim","serie","p1","p2","p3"
100,20,"x7",25,0,0
100,20,"x8",25,24,20
100,20,"x9",27,21,12
100,20,"x10",29,17,16
100,20,"x11",15,12,0
100,20,"x12",0,0,0
100,20,"x13",27,13,3
100,20,"x14",18,10,0
100,21,"x1",3,0,0
100,21,"x2",29,20,13
100,21,"x3",13,2,1
100,21,"x4",29,27,14
100,21,"x5",11,0,0
100,21,"x6",28,23,11
100,21,"x7",24,23,11
100,21,"x8",28,12,2
100,21,"x9",29,27,22
100,21,"x10",28,23,21
100,21,"x11",25,22,0
100,21,"x12",29,26,21
100,21,"x13",15,5,0
100,21,"x14",5,2,0
100,22,"x1",29,21,9
100,22,"x2",26,25,18
100,22,"x3",19,11,2
100,22,"x4",18,2,0
100,22,"x5",3,0,0
100,22,"x6",27,26,24
100,22,"x7",29,19,13
100,22,"x8",27,4,3
100,22,"x9",26,22,13
100,22,"x10",29,27,26
100,22,"x11",25,23,20
100,22,"x12",27,21,14
100,22,"x13",1,0,0
100,22,"x14",26,3,2
100,23,"x1",29,25,24
100,23,"x2",26,9,2
100,23,"x3",22,21,18
100,23,"x4",24,0,0
100,23,"x5",29,25,22
100,23,"x6",27,26,9
100,23,"x7",18,15,10
100,23,"x8",29,26,13
100,23,"x9",23,12,11
100,23,"x10",21,13,7
100,23,"x11",12,7,0
100,23,"x12",27,23,10
100,23,"x13",24,22,21
100,23,"x14",15,2,0
100,24,"x1",28,26,3
100,24,"x2",29,20,11
100,24,"x3",23,16,5
100,24,"x4",28,8,0
100,24,"x5",21,4,0
100,24,"x6",23,3,0
100,24,"x7",26,17,13
100,24,"x8",27,21,18
100,24,"x9",24,17,10
100,24,"x10",27,22,21
100,24,"x11",18,15,12
100,24,"x12",29,26,1
100,24,"x13",22,17,13
100,24,"x14",29,28,15
100,25,"x1",21,7,3
100,25,"x2",29,26,22
100,25,"x3",29,15,14
100,25,"x4",24,19,16
100,25,"x5",26,19,7
100,25,"x6",24,3,2
100,25,"x7",27,0,0
100,25,"x8",13,1,0
100,25,"x9",29,22,13
100,25,"x10",28,27,25
100,25,"x11",25,0,0
100,25,"x12",29,27,25
100,25,"x13",21,20,19
100,25,"x14",29,20,18
100,26,"x1",23,0,0
100,26,"x2",28,26,23
100,26,"x3",26,16,2
100,26,"x4",28,27,26
100,26,"x5",29,24,0
100,26,"x6",24,17,7
100,26,"x7",25,22,1
100,26,"x8",29,22,9
100,26,"x9",23,21,11
100,26,"x10",18,14,9
100,26,"x11",26,24,11
100,26,"x12",14,2,0
100,26,"x13",26,5,3
100,26,"x14",0,0,0
100,27,"x1",28,26,16
100,27,"x2",29,21,2
100,27,"x3",6,2,1
100,27,"x4",29,24,21
100,27,"x5",0,0,0
100,27,"x6",27,26,23
100,27,"x7",28,27,19
100,27,"x8",29,13,1
100,27,"x9",28,12,6
100,27,"x10",9,5,4
100,27,"x11",20,0,0
100,27,"x12",22,14,1
100,27,"x13",28,26,19
100,27,"x14",18,0,0
100,28,"x1",26,16,3
100,28,"x2",26,13,3
100,28,"x3",29,27,17
100,28,"x4",27,12,0
100,28,"x5",6,0,0
100,28,"x6",20,19,7
100,28,"x7",20,17,9
100,28,"x8",29,20,9
100,28,"x9",17,6,0
100,28,"x10",23,20,14
100,28,"x11",29,27,22
100,28,"x12",1,0,0
100,28,"x13",28,11,3
100,28,"x14",29,22,10
100,29,"x1",29,27,20
100,29,"x2",28,27,2
100,29,"x3",16,2,1
100,29,"x4",29,21,4
100,29,"x5",25,23,18
