"size","sim","serie","p1","p2","p3"
100,24,"x13",0,0,0
100,24,"x14",29,4,0
100,25,"x1",14,3,1
100,25,"x2",0,0,0
100,25,"x3",15,0,0
100,25,"x4",24,16,0
100,25,"x5",6,0,0
100,25,"x6",0,0,0
100,25,"x7",27,2,1
100,25,"x8",1,0,0
100,25,"x9",29,22,1
100,25,"x10",23,12,4
100,25,"x11",25,0,0
100,25,"x12",29,0,0
100,25,"x13",20,2,0
100,25,"x14",19,18,15
100,26,"x1",0,0,0
100,26,"x2",23,13,1
100,26,"x3",0,0,0
100,26,"x4",28,27,0
100,26,"x5",24,12,0
100,26,"x6",7,2,0
100,26,"x7",3,1,0
100,26,"x8",2,1,0
100,26,"x9",11,0,0
100,26,"x10",23,7,6
100,26,"x11",11,0,0
100,26,"x12",14,0,0
100,26,"x13",1,0,0
100,26,"x14",0,0,0
100,27,"x1",4,2,0
100,27,"x2",1,0,0
100,27,"x3",3,0,0
100,27,"x4",29,24,0
100,27,"x5",0,0,0
100,27,"x6",2,0,0
100,27,"x7",2,1,0
100,27,"x8",1,0,0
100,27,"x9",6,0,0
100,27,"x10",11,4,3
100,27,"x11",20,0,0
100,27,"x12",16,0,0
100,27,"x13",0,0,0
100,27,"x14",18,0,0
100,28,"x1",26,3,0
100,28,"x2",4,0,0
100,28,"x3",8,3,0
100,28,"x4",27,23,22
100,28,"x5",0,0,0
100,28,"x6",20,7,2
100,28,"x7",1,0,0
100,28,"x8",2,1,0
100,28,"x9",11,0,0
100,28,"x10",4,3,0
100,28,"x11",29,17,13
100,28,"x12",0,0,0
100,28,"x13",1,0,0
100,28,"x14",10,6,2
100,29,"x1",29,3,2
100,29,"x2",27,2,1
100,29,"x3",0,0,0
100,29,"x4",8,2,0
100,29,"x5",24,18,0
100,29,"x6",15,14,12
100,29,"x7",1,0,0
100,29,"x8",2,1,0
100,29,"x9",17,0,0
100,29,"x10",20,3,2
100,29,"x11",28,20,16
100,29,"x12",0,0,0
100,29,"x13",0,0,0
100,29,"x14",26,22,19
100,30,"x1",28,3,2
100,30,"x2",1,0,0
100,30,"x3",3,2,0
100,30,"x4",0,0,0
100,30,"x5",0,0,0
100,30,"x6",24,23,0
100,30,"x7",1,0,0
100,30,"x8",1,0,0
100,30,"x9",23,18,0
100,30,"x10",23,18,3
100,30,"x11",23,21,1
100,30,"x12",0,0,0
100,30,"x13",0,0,0
100,30,"x14",29,18,10
100,31,"x1",20,3,1
100,31,"x2",1,0,0
100,31,"x3",0,0,0
100,31,"x4",20,17,16
100,31,"x5",26,21,17
100,31,"x6",28,27,2
100,31,"x7",16,2,1
100,31,"x8",18,17,1
100,31,"x9",10,0,0
100,31,"x10",10,5,4
100,31,"x11",23,0,0
100,31,"x12",0,0,0
100,31,"x13",0,0,0
100,31,"x14",4,0,0
100,32,"x1",20,3,2
100,32,"x2",1,0,0
100,32,"x3",0,0,0
100,32,"x4",11,5,4
100,32,"x5",18,4,3
100,32,"x6",29,2,0
100,32,"x7",11,1,0
100,32,"x8",1,0,0
100,32,"x9",28,0,0
100,32,"x10",25,17,2
100,32,"x11",0,0,0
100,32,"x12",0,0,0
100,32,"x13",29,26,21
100,32,"x14",23,8,2
100,33,"x1",2,0,0
100,33,"x2",10,0,0
100,33,"x3",21,0,0
100,33,"x4",16,0,0
100,33,"x5",13,3,0
100,33,"x6",29,6,2
100,33,"x7",1,0,0
100,33,"x8",2,1,0
100,33,"x9",19,2,0
100,33,"x10",19,6,4
100,33,"x11",24,9,0
100,33,"x12",28,0,0
100,33,"x13",0,0,0
100,33,"x14",3,2,0
100,34,"x1",16,0,0
100,34,"x2",0,0,0
100,34,"x3",0,0,0
100,34,"x4",0,0,0
100,34,"x5",3,0,0
100,34,"x6",2,0,0
100,34,"x7",1,0,0
100,34,"x8",1,0,0
100,34,"x9",16,11,4
100,34,"x10",28,23,14
100,34,"x11",26,0,0
100,34,"x12",18,0,0
100,34,"x13",1,0,0
100,34,"x14",0,0,0
